GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
19051,,No,Water Softening Equipment--Rented to Others,,,,,No,
19061,,No,Portable Toilet Rentals,,,,,No,
19795,,No,Trailer Dealers,,,,,No,
19796,,No,Trailer Rental Agencies,,,,,No,
40005,,No,Adult Day Care--Not-For-Profit Only,,,,,No,
40006,,No,Adult Day Care--Other Than Not-For-Profit,,,,,No,
40010,,No,Airports--Commercial,,,,,No,
40015,,No,Airports--Private,,,,,No,
40020,,No,Airport Control Towers--Not Operated Exclusively by the Federal Aviation Administration,,,,,No,
40026,,No,"Airport--Lessees of Portions of Airports Engaged in the Sale of Aircraft or Accessories, Servicing or Repairing of Aircraft or Pilot Instructions",,,,,No,
40031,,No,"Ambulance Service, First Aid or Rescue Squads--Other Than Not-For-Profit",,,,,No,
40032,,No,"Ambulance Service, First Aid or Rescue Squads--Not-For-Profit Only",,,,,No,
40040,,No,Amusement Devices,,,,,No,
40041,,No,Amusement Devices--Operated in Connection with Carnivals or Fairs--Other Than Not-For-Profit,,,,,No,
40042,,No,Amusement Devices--Operated in Connection with Carnivals or Fairs--Not-For-Profit Only,,,,,No,
40045,,No,Animals--Draft,,,,,No,
40046,,No,Animals--Saddle--for Rent,,,,,No,
40047,,No,Animals--Saddle--Private,,,,,No,
40059,,No,Athletic Games Sponsored by the Insured--Other Than Not-For-Profit,,,,,No,
40061,,No,Athletic Games Sponsored by the Insured--Not-For-Profit Only,,,,,No,
40063,,No,Athletic or Sports Contests--in Buildings--Lessees--Other Than Not-For-Profit,,,,,No,
40064,,No,Athletic or Sports Contests--in Buildings--Lessees--Not-For-Profit Only,,,,,No,
40066,,No,Athletic Programs--Amateur--Other Than Not-For-Profit,,,,,No,
40067,,No,Athletic Programs--Amateur--Not-For-Profit Only,,,,,No,
40069,,No,Athletic Teams--Professional or Semi-Professional,,,,,No,
40072,,No,Beaches--Bathing--Not Commercially Operated,,,,,No,
40075,,No,Bingo Games--in Public Halls or Theaters--Commercially Operated,,,,,No,
40101,,No,Blood Banks--Other Than Not-For-Profit,,,,,No,
40102,,No,Blood Banks--Not-For-Profit Only,,,,,No,
40111,,No,Boats--Canoes or Rowboats--Not for Rent--Not Equipped with Motors,,,,,No,
40115,,No,Boats--Motor or Sail--Not for Rent,,,,,No,
40117,,No,Boats--Not for Rent,,,,,No,
40140,,No,Boats--Nonowned over 26 Feet,,,,,No,
41001,,No,Boy or Girl Scout Councils,,,,,No,
41210,,No,Bus Stations or Terminals,,,,,No,
41421,,No,Camps--For-Profit,,,,,No,
41422,,No,Camps--Not-For-Profit,,,,,No,
41510,,No,Caves--Tourist Attraction,,,,,No,
41603,,No,Cemeteries--Other Than Not-For-Profit,,,,,No,
41604,,No,Cemeteries--Not-For-Profit Only,,,,,No,
41650,,No,Churches or Other Houses of Worship,,,,,No,
41664,,No,Clubs--Horseback Riding--No Commercial Riding Instructions,,,,,No,
41665,,No,Clubs--Racket Sports and Handball,,,,,No,
41666,,No,Clubs--Swimming,,,,,No,
41667,,No,"Clubs--Civic, Service or Social--Having Buildings or Premises Owned or Leased--Other Than Not-For-Profit",,,,,No,
41668,,No,"Clubs--Civic, Service or Social--Having Buildings or Premises Owned or Leased--Not-For-Profit Only",,,,,No,
41670,,No,"Clubs--Civic, Service or Social--No Buildings or Premises Owned or Leased Except for Office Purposes--Not-For-Profit Only",,,,,No,
41672,,No,Conventions (Sponsor's Risk Only)--Other Than Not-For-Profit,,,,,No,
41673,,No,Conventions (Sponsor's Risk Only)--Not-For-Profit Only,,,,,No,
41675,,No,Computer Consulting or Programming,,,,,No,
41677,,No,Consultants,,,,,No,
41678,,No,Community Recreational Facilities--Not Operated by Governmental Agency,,,,,No,
41679,,No,Cotton Gin Operations--Other Than Those Performed for a Fee Per Bale,,,,,No,
41680,,No,Convents or Monasteries,,,,,No,
41696,,No,Crematories--Other Than Not-For-Profit,,,,,No,
41697,,No,Crematories--Not-For-Profit Only,,,,,No,
41700,,No,"Dam, Levee or Dike--Existence Hazard Only",,,,,No,
41715,,No,Day Care Centers--Other Than Not-For-Profit,,,,,No,
41716,,No,Camps--Not-For-Profit Only,,,,,No,
43007,,No,Drawbridges--Existence Hazard Only,,,,,No,
43117,,No,Dude Ranches,,,,,No,
43151,,No,Computer Data Processing--Operations,,,,,No,
43152,,No,Computer Data Processing--Time Sharing,,,,,No,
43200,,No,Employment Agencies,,,,,No,
43215,,No,Entertainment Performed on Others' Premises,,,,,No,
43421,,No,Exhibitions--Outside--In Stadiums or on Premises Having Grandstands or Bleachers Not Erected by or for Insured--Ushers or Other Attendants in Stands Not Provided by Insured,,,,,No,
43422,,No,Exhibitions--Outside--In Stadiums or on Premises Having Grandstands or Bleachers Not Erected by or for the Insured--Ushers or Other Attendants in Stands Provided by the Insured,,,,,No,
43424,,No,Exhibitions--Outside--No Stadiums or Grandstands,,,,,No,
43470,,No,Pest Control Services,,,,,No,
43517,,No,Fair Grounds--Nonoperating Season,,,,,No,
43518,,No,Fairs--Outside (Operator's Risk Only),,,,,No,
43550,,No,Fire Departments--Other Than Volunteer,,,,,No,
43551,,No,Fire Departments--Volunteer,,,,,No,
43626,,No,Fireworks Exhibitions--Contractor's Risk Only,,,,,No,
43628,,No,Fireworks Exhibitions--Sponsor's Risk Only--Other Than Not-For-Profit,,,,,No,
43629,,No,Fireworks Exhibitions--Sponsor's Risk Only--Not-For-Profit Only,,,,,No,
43754,,No,Fishing Piers,,,,,No,
43760,,No,Fishing Ponds or Lakes--Commercially Operated,,,,,No,
43822,,No,Forestry Service,,,,,No,
43840,,No,Fruit or Vegetable--Harvesting Contractors,,,,,No,
43860,,No,Fumigating,,,,,No,
43889,,No,Funeral Homes or Chapels,,,,,No,
43945,,No,Garbage or Refuse Dumps,,,,,No,
43946,,No,"Garbage Works--Separation for Recycling, Reduction or Incineration",,,,,No,
43990,,No,Gambling--Casinos,,,,,No,
43991,,No,Gambling--Incidental to Other Operations,,,,,No,
44009,,No,Gasoline or Oil Supply Stations--Retail--(Lessor's Risk Only),,,,,No,
44010,,No,Gasoline Recovery--from Casing Head or Natural Gas,,,,,No,
44069,,No,Golf Courses--Miniature,,,,,No,
44070,,No,Golf Courses--Municipal or Public--Not Golf or Country Clubs,,,,,No,
44071,,No,Golf Driving Ranges,,,,,No,
44072,,No,Golfmobiles--Loaned or Rented to Others,,,,,No,
44100,,No,"Governmental: Municipalities--Population under 2,500",,,,,No,
44101,,No,"Governmental: Municipalities--Population 2,501-10,000",,,,,No,
44102,,No,"Governmental: Municipalities--Population 10,001-25,000",,,,,No,
44103,,No,"Governmental: Municipalities--Population 25,001-50,000",,,,,No,
44104,,No,"Governmental: Municipalities--Population 50,001-100,000",,,,,No,
44105,,No,Governmental: Municipalities,,,,,No,
44106,,No,"Governmental: Municipalities--Population over 250,000",,,,,No,
44108,,No,"Governmental: Counties or Parishes--Population under 10,000",,,,,No,
44109,,No,"Governmental: Counties or Parishes--Population 10,001-25,000",,,,,No,
